id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
2457,Shanghai RAAS Blood Products,China,Biotechs,319,230,1800,15800,-
2458,Shanghai Yongli Belting,CHINA / HONG KONG,-,148,15,-,970,-
2459,Shanxi Coking Coal Group,China,"Mining, Crude-Oil Production",31039,76 ,40194,-,218602
2460,Shanxi Jincheng Anthracite Coal Mining Group,China,"Mining, Crude-Oil Production",27572,(154),32624,-,145890
2461,Shanxi LuAn Mining Group,China,"Mining, Crude-Oil Production",28642,(277),29742,-,99739
2462,Shanxi Taigang Stainless,China,Iron & Steel,11300,-141,12000,3100,-
2463,Sharp,Japan,Consumer Electronics,21800,-2700,14400,2200,-
2464,Shaw Communications,Canada,Broadcasting & Cable,4100,648,11100,9000,-
2465,Sheetz,United States,Convenience Stores & Gas Stations,6300,-,-,-,14500
2466,Shengjing Bank,China,Regional Banks,5400,989,108100,8400,-
2467,Shenhua Group,China,"Mining, Crude-Oil Production",37612,1391,143436,-,208432
2468,Shenwan Hongyuan Group,China,Major Banks,1800,1700,55000,19000,-
2469,Shenzhen Changfang Group,CHINA / HONG KONG,-,226,16,-,1021,-
2470,Shenzhen Everwin Precision Technology,CHINA / HONG KONG,-,619,72,-,2893,-
2471,Shenzhen Fenda Technology,CHINA / HONG KONG,-,274,47,-,3155,-
2472,Shenzhen Inovance Technology,CHINA / HONG KONG,-,441,129,-,4589,-
2473,Shenzhen Kingdom Technology,CHINA / HONG KONG,-,414,41,-,4406,-
2474,Shenzhen Microgate Technology,CHINA / HONG KONG,-,108,12,-,988,-
2475,Shenzhen Overseas,China,Hotels & Motels,4100,715,16200,8600,-
2476,Shenzhen Salubris Pharmaceuticals,CHINA / HONG KONG,-,553,201,-,4375,-
2477,Shenzhen WorldUnion Properties Consultancy,CHINA / HONG KONG,-,712,81,-,2724,-
2478,Sherwin-Williams,United States,Home Improvement Retail,11500,1100,5800,27600,-
2479,Sherwood Food Distributors,United States,"Food, Drink & Tobacco",2200,-,-,-,1125
2480,SHI International,United States,Technology Hardware & Equipment,6800,-,-,-,3200
2481,Shiga Bank,Japan,Regional Banks,739,145,42000,1200,-
2482,Shimano,Japan,Real Estate,3100,629,3600,14200,-
2483,Shimao Property Holdings,Hong Kong,Real Estate,9200,975,37600,4900,-
2484,Shimizu,Japan,Construction Services,13800,440,14400,7200,-
2485,Shin Kong Financial,Taiwan,Life & Health Insurance,8800,182,90200,2000,-
2486,Shin-Etsu Chemical,Japan,Diversified Chemicals,10800,1200,20500,24400,-
2487,Shinhan Financial Group,South Korea,Investment Services,14900,2200,316000,17600,-
2488,Shinhokoku Steel,JAPAN,-,39,5,-,57,-
2489,Shinsei Bank,Japan,Regional Banks,2300,526,77600,4000,-
2490,Shionogi,Japan,Pharmaceuticals,2500,491,5200,18500,-
2491,Shire,Ireland,Pharmaceuticals,6400,1300,16600,36600,-
2492,Shiseido,Japan,Household/Personal Care,8400,241,6700,9100,-
2493,Shizuoka Bank,Japan,Regional Banks,1800,439,92100,5400,-
2494,ShopKo Stores,United States,Retailing,3200,-,-,-,18000
2495,Shoprite Holdings,South Africa,Food Retail,9300,341,3300,6700,-
2496,Shoptiques,United States,Retailing,3 ,-,-,-,15
2497,Shougang Group,China,Metals,21514,(320),67291,-,114807
2498,Showa Shell Sekiyu,Japan,Oil & Gas Operations,18000,-227,8000,4000,-
2499,Siam Cement,Thailand,Specialized Chemicals,12800,1300,14200,16500,-
2500,Siam Commercial Bank,Thailand,Regional Banks,6800,1300,81400,12700,-
2501,Sichuan Chuantou Energy,China,Electric Utilities,176,616,3700,5600,-
2502,Sichuan Fulin Transportation Group,CHINA / HONG KONG,-,204,29,-,713,-
2503,Siemens,Germany,Conglomerates,85500,6500,133900,91800,-
2504,Sigma Plastics Group,United States,Materials,2500,-,-,-,5000
2505,Signature Bank,United States,Regional Banks,1200,394,34900,7500,-
2506,Signature International,MALAYSIA,-,79,10,-,60,-
2507,Signet Jewelers,Bermuda,Specialty Stores,6600,468,6500,8800,-
2508,Signode Industrial Group,United States,Manufacturing,2500,-,-,-,7000
2509,Signpost,United States,Business Services & Supplies,7 ,-,-,-,200
2510,Sika,Switzerland,Construction Materials,5700,478,4900,10300,-
2511,Silergy,TAIWAN,-,148,38,-,921,-
2512,Silgan Holdings,U.S.,"Packaging, Containers",3764,172 ,3193,3211,9600
2513,Sime Darby,Malaysia,Conglomerates,11500,506,15200,12900,-
2514,Simon Property Group,United States,Real Estate,5300,1600,30700,62500,-
2515,Sinclair Oil,United States,Oil & Gas Operations,5000,-,-,-,7000
2516,Singapore Airlines,Singapore,Airline,11200,450,16800,10000,-
2517,SingTel,Singapore,Telecommunications services,12500,2800,30900,46700,-
2518,Sino Land,Hong Kong,Real Estate,2900,625,18700,4600,-
2519,Sinochem Group,China,Trading,60656,(55),54614,-,53432
2520,Sinodata,CHINA / HONG KONG,-,211,26,-,2759,-
2521,Sinohydro Group,China,Construction Services,26400,1000,60800,13300,-
2522,Sinomach,China,Industrial Machinery,35134,767 ,40260,-,116722
2523,Sino-Ocean Land Holdings,China,Real Estate,5100,342,22800,3600,-
2524,SinoPac Financial,Taiwan,Regional Banks,1500,342,48300,3100,-
2525,Sinopec,China,Oil & Gas Operations,283600,5100,223700,89900,-
2526,Sinopec Group,China,Petroleum Refining,294344,3595,317006,-,810538
2527,Sinopharm,China,Pharmaceuticals,44325,443 ,35156,-,104464
2528,Sinopharm Group,China,Pharmaceuticals,36100,87,21300,12500,-
2529,Sinosoft Technology Group,CHINA / HONG KONG,-,71,25,-,574,-
2530,Sirtex Medical,AUSTRALIA,-,147,34,-,1294,-
2531,Sistema,Russia,Telecommunications services,11600,-9,17800,2700,-
2532,SK Holdings,South Korea,Oil & Gas Operations,35000,4700,82400,13800,-
2533,SK Hynix,South Korea,Semiconductors,16600,3800,25300,17500,-
2534,SK Innovation,South Korea,Oil & Gas Operations,42700,720,26700,13000,-
2535,SK Networks,South Korea,Trading Companies,18000,65,7000,1400,-
2536,SK Telecom,South Korea,Telecommunications services,15100,1300,24400,14200,-
2537,Skadden,United States,Services,2400,-,-,-,4300
2538,Skanska,Sweden,Construction Services,18100,567,11800,9100,-
2539,Skechers U.S.A.,U.S.,Apparel,3159,232 ,2047,4779,6400
2540,SKF Group,Sweden,Other Industrial Equipment,9000,460,9500,8300,-
2541,Sky Zone Indoor Trampoline,United States,Services,167 ,-,-,-,436
2542,SkyWest,U.S.,Airlines,3096,118 ,4803,1027,18300
2543,Skyworks Solutions,United States,Semiconductors,3400,958,3900,13600,-
2544,SL Green Realty,United States,Real Estate,1700,272,19600,10500,-
2545,Slack,United States,Business Services & Supplies,3 ,-,-,-,81
2546,SM Investments,Philippines,Department Stores,6200,625,16400,16400,-
2547,Smart & Final Stores,U.S.,Food and Drug Stores,3971,38 ,1821,1193,6939
2548,SMC,Japan,Other Industrial Equipment,3900,855,9600,17300,-
2549,Smith & Nephew,United Kingdom,Medical Equipment & Supplies,4600,411,7200,14500,-
2550,Smiths Group,United Kingdom,Conglomerates,4300,440,6000,6600,-
2551,Smule,United States,Services,38 ,-,-,-,98
2552,Smurfit Kappa Group,Ireland,Paper & Paper Products,9000,444,9500,6200,-
2553,Snam,Italy,Electric Utilities,4300,1400,27600,20600,-
2554,Snap-on,United States,Household/Personal Care,3600,479,4500,9300,-
2555,SNCF Mobilit√©s,France,Railroads,32497,"(2,416)",40861,-,196152
2556,SNC-Lavalin Group,Canada,Construction Services,7400,316,7700,5600,-
2557,SNTEK,SOUTH KOREA,-,49,6,-,91,-
2558,Sociedades Bolivar,Colombia,Business & Personal Services,4200,425,31000,1500,-
2559,Soci®¶t®¶ G®¶n®¶rale,France,Major Banks,28400,4400,1449600,32500,-
2560,Soci√©t√© G√©n√©rale,France,Banks: Commercial and Savings,107736,4438,"1,449,415 ",-,151149
2561,Sodexo,France,Business & Personal Services,22500,788,15300,15900,-
2562,Softbank,Japan,Telecommunications services,74700,4300,178700,67100,-
2563,SoftBank Group,Japan,Telecommunications,76469,3950,184261,-,63591
2564,S-Oil,South Korea,Oil & Gas Operations,14700,737,10000,9100,-
2565,Sojitz,Japan,Trading Companies,14100,315,18100,2600,-
2566,Solvay,Belgium,Diversified Chemicals,12300,450,27500,10700,-
2567,Sompo Japan Nipponkoa Holdings,Japan,Insurance: Property and Casualty (Stock),27123,1329,90646,-,45326
2568,Songcheng Performance Development,CHINA / HONG KONG,-,263,100,-,5233,-
2569,Sonic Automotive,U.S.,"Automotive Retailing, Services",9624,86 ,3562,851 ,9800
2570,Sonoco Products,U.S.,"Packaging, Containers",4964,250 ,4020,4904,21000
2571,Sonova Holding,Switzerland,Medical Equipment & Supplies,2100,360,2700,8800,-
2572,Sony,Japan,Consumer Electronics,67900,1100,142200,34100,-
2573,Soochow Securities,China,Investment Services,1600,406,12500,5800,-
2574,Southeastern Grocer3,United States,Food Markets,10800,-,-,-,66000
2575,Southern,United States,Electric Utilities,17500,2400,84700,45300,-
2576,Southern Glazer's,United States,"Food, Drink & Tobacco",17000,-,-,-,20000
2577,Southwest Airlines,United States,Airline,20200,2200,22200,30200,-
2578,Southwest Gas,U.S.,Utilities: Gas and Electric,2464,138 ,5359,3125,5876
2579,Southwest Securities,China,Other Transportation,1700,566,11000,7100,-
2580,Southwire,United States,Capital Goods,5100,-,-,-,7000
2581,SpartanNash,U.S.,Wholesalers: Food and Grocery,7652,63 ,1925,1130,11850
2582,Spectra Energy,United States,Oil Services & Equipment,5200,196,32900,21700,-
2583,Spirit AeroSystems,United States,Aerospace & Defense,6600,788,5800,6200,-
2584,Spirit AeroSystems Holdings,U.S.,Aerospace and Defense,6644,789 ,5778,6026,15200
2585,Spokeo,United States,Services,57 ,-,-,-,150
2586,Sprague Resources,U.S.,Wholesalers: Diversified,3482,78 ,1000,436 ,590
2587,Sprouts Farmers Market,U.S.,Food and Drug Stores,3593,129 ,1426,4372,20000
2588,SSE,United Kingdom,Electric Utilities,51100,748,34200,21500,-
2589,ST Engineering,Singapore,Aerospace & Defense,4600,385,5800,7800,-
2590,St Galler Kantonalbank,Switzerland,Regional Banks,624,139,31200,2300,-
2591,St Jude Medical,United States,Medical Equipment & Supplies,5600,713,12600,17200,-
2592,St. James's Place,United Kingdom,Investment Services,4800,309,87200,6900,-
2593,St. Jude Medical,U.S.,Medical Products and Equipment,5541,880 ,13064,15599,18000
2594,StanCorp Financial Group,U.S.,"Insurance: Life, Health (stock)",2902,215 ,23174,-,2767
2595,Standard Bank Group,South Africa,Regional Banks,15400,1900,127700,14400,-
2596,Standard Chartered,United Kingdom,Major Banks,20500,-2200,640500,26300,-
2597,Standard Life,United Kingdom,Life & Health Insurance,13800,2200,252300,9600,-
2598,Stanley Black & Decker,United States,Household/Personal Care,11200,911,15600,16700,-
2599,Staples,United States,Specialty Stores,21100,379,10200,6800,-
2600,Starbucks,United States,Restaurants,20200,2500,12900,85300,-
2601,Starwood Hotels,United States,Hotels & Motels,5800,489,8300,13400,-
2602,Starwood Hotels & Resorts,U.S.,"Hotels, Casinos, Resorts",5763,489 ,8268,14080,188000
2603,State Bank of India,India,Regional Banks,41800,2400,427100,23300,-
2604,State Farm Insurance Cos.,U.S.,Insurance: Property and Casualty (Mutual),75697,6229,241183,-,70425
2605,State Grid,China,Utilities,329601,10201,478539,-,927839
2606,State Power Investment,China,Energy,30616,289 ,119163,-,126878
2607,State Street,United States,Investment Services,10200,2000,245200,24800,-
2608,State Street Corp.,U.S.,Commercial Banks,10760,1980,245192,23409,32356
2609,Stater Bros,United States,Food Markets,4200,-,-,-,17000
2610,Statoil,Norway,Oil & Gas Operations,58000,-4600,109200,53600,-
2611,Steel Authority of India,India,Iron & Steel,7400,353,16200,2900,-
2612,Steel Dynamics,U.S.,Metals,7594,(130),6202,5480,7500
2613,Steelcase,U.S.,"Home Equipment, Furnishings",3060,86 ,1722,1826,11550
2614,Steinhoff International,South Africa,Furniture & Fixtures,13300,1400,25100,22800,-
2615,Stericycle,U.S.,Waste Management,2986,267 ,7078,10682,25472
2616,Stifel Financial,U.S.,Securities,2377,92 ,13336,2057,7100
2617,Stockland Australia,Australia,Real Estate,1600,853,12100,7800,-
2618,Stora Enso,Finland,Paper & Paper Products,11100,895,13400,6700,-
2619,Storebrand,Norway,Diversified Insurance,5200,146,58900,1700,-
2620,Stovec Industries,INDIA,-,25,3,-,67,-
2621,STRABAG,Austria,Construction Services,15000,197,11900,3400,-
2622,Structure Tone,United States,Construction,3800,-,-,-,1700
2623,Stryker,United States,Medical Equipment & Supplies,10100,1600,19700,40800,-
2624,Suffolk Construction,United States,Construction,2500,-,-,-,1200
2625,Suja Juice,United States,Beverages,42 ,-,-,-,205
2626,Sumitomo,Japan,Trading,33409,621 ,69566,-,66860
2627,Sumitomo Chemical,Japan,Diversified Chemicals,18400,740,24100,7800,-
2628,Sumitomo Corp,Japan,Trading Companies,31100,-13,71000,13700,-
2629,Sumitomo Electric,Japan,Auto & Truck Parts,24500,730,24300,9800,-
2630,Sumitomo Electric Industries,Japan,Motor Vehicles and Parts,24432,758 ,24407,-,240865
2631,Sumitomo Life Insurance,Japan,"Insurance: Life, Health (Mutual)",31100,551 ,282942,-,42115
2632,Sumitomo Metal Mining,Japan,Diversified Metals & Mining,7400,47,13600,6500,-
2633,Sumitomo Mitsui Financial,Japan,Regional Banks,39600,5800,1558300,48200,-
2634,Sumitomo Mitsui Financial Group,Japan,Banks: Commercial and Savings,39751,5387,"1,660,312 ",-,73652
2635,Sumitomo Mitsui Trust,Japan,Regional Banks,9200,1300,417700,13000,-
2636,Sumitomo Realty,Japan,Real Estate,7000,780,38000,15200,-
2637,Sumitomo Rubber,Japan,Auto & Truck Parts,7000,461,7800,4100,-
2638,Sun Art Retail Group,Hong Kong,Food Retail,15400,390,8500,7000,-
2639,Sun Frontier Fudousan,JAPAN,-,255,68,-,420,-
2640,Sun Hung Kai Properties,Hong Kong,Real Estate,9100,3900,78800,36800,-
2641,Sun Life Financial,Canada,Life & Health Insurance,15100,1800,173800,20900,-
2642,Sun Pharma Industries,India,Pharmaceuticals,4100,606,7700,29700,-
2643,Suncor Energy,Canada,Oil & Gas Operations,22800,-1600,55800,45200,-
2644,Suncorp Group,Australia,Diversified Insurance,10200,774,68700,12500,-
2645,Sungrow Power Supply,CHINA / HONG KONG,-,726,68,-,2415,-
2646,Suning Appliance,China,Specialty Stores,21500,139,13600,12600,-
2647,SunTrust Banks,United States,Regional Banks,8200,1900,190800,21200,-
2648,Suofeiya Home Collection,CHINA / HONG KONG,-,508,73,-,3809,-
2649,Superfish,United States,IT Software & Services,38 ,-,-,-,78
2650,Superior Energy Services,U.S.,"Oil and Gas Equipment, Services",2793,"(1,855)",4914,2027,8300
2651,Supervalu,United States,Food Retail,17900,165,4600,1400,-
2652,Surf Air,United States,Transportation,8 ,-,-,-,113
2653,Surgutneftegas,Russia,Oil & Gas Operations,19000,20200,61500,19700,-
2654,Suruga Bank,Japan,Regional Banks,1100,306,36500,4600,-
2655,Suyog Telematics,INDIA,-,7,2,-,42,-
2656,Suzhou Anjie Technology,CHINA / HONG KONG,-,299,49,-,2291,-
2657,Suzuken,Japan,Pharmaceuticals,17800,199,11000,3600,-
2658,Suzuki Motor,Japan,Auto & Truck Manufacturers,26700,985,23200,14200,-
2659,SVB Financial Group,United States,Regional Banks,1500,335,43600,5500,-
2660,Svenska Handelsbanken,Sweden,Regional Banks,6700,1900,352400,25200,-
2661,Swagelok,United States,Capital Goods,2000,-,-,-,9000
2662,Swatch Group,Switzerland,Apparel/Accessories,8800,1100,13300,18600,-
2663,Swedbank,Sweden,Regional Banks,6600,1900,254900,23700,-
2664,Swift Transportation,U.S.,"Trucking, Truck Leasing",4229,198 ,2922,2545,20900
2665,Swinerton,United States,Construction,2900,-,-,-,1000
2666,Swire Pacific,Hong Kong,Conglomerates,7900,1700,46800,15800,-
2667,Swiss Life Holding,Switzerland,Life & Health Insurance,20600,906,189300,8400,-
2668,Swiss Re,Switzerland,Diversified Insurance,35700,4600,189600,35400,-
2669,Swisscom,Switzerland,Telecommunications services,12100,1400,21100,26100,-
2670,Symantec,United States,Software & Programming,5400,619,11900,11700,-
2671,Symetra Financial,U.S.,"Insurance: Life, Health (stock)",2179,147 ,35337,-,1400
2672,Synchrony Financial,United States,Consumer Financial Services,11200,2200,81700,25400,-
2673,Syndicate Bank,India,Regional Banks,3900,273,48600,750,-
2674,Syngen Biotech,TAIWAN,-,20,2,-,43,-
2675,Syngenta,Switzerland,Specialized Chemicals,13400,1300,19400,38300,-
2676,SYNNEX,United States,Computer Services,13300,206,4200,3300,-
2677,Synopsys,U.S.,Computer Software,2242,226 ,5046,7336,10284
2678,Synovus Financial,United States,Regional Banks,1200,225,29200,3900,-
2679,Sysco,United States,Food Retail,48900,767,13100,25800,-
2680,Sysmex,Japan,Medical Equipment & Supplies,2100,273,2100,13600,-
2681,Systemax,U.S.,Specialty Retailers: Other,2908,(100),710 ,323 ,3300
2682,T Rowe Price,United States,Investment Services,4200,1200,5200,19200,-
2683,T&D Holdings,Japan,Life & Health Insurance,16300,666,123100,6700,-
2684,T. Rowe Price,U.S.,Securities,4201,1223,5107,18190,5999
2685,Tailored Brands,U.S.,Specialty Retailers: Apparel,3496,"(1,027)",2244,867 ,21250
2686,Taisei,Japan,Construction Services,13300,525,13500,8100,-
2687,Taishin Financial Holdings,Taiwan,Investment Services,1600,416,46300,3300,-
2688,Taiwan Business Bank,Taiwan,Regional Banks,971,161,44900,1500,-
2689,Taiwan Cooperative Financial,Taiwan,Regional Banks,2000,412,98500,4900,-
2690,Taiwan High Speed Rail,Taiwan,Railroads,1600,657,15400,2700,-
2691,Taiwan Mobile,Taiwan,Telecommunications services,3700,494,4800,11200,-
2692,Taiwan Semiconductor,Taiwan,Semiconductors,25700,9100,50500,125600,-
2693,Taiwan Semiconductor Manufacturing,Taiwan,Semiconductors and Other Electronic Components,26575,9542,50467,-,45272
2694,Takeda Pharmaceutical,Japan,Pharmaceuticals,15100,-924,34800,39000,-
2695,TAL Education Group,CHINA / HONG KONG,-,620,103,-,2803,-
2696,Talanx,Germany,Diversified Insurance,33900,814,159800,8600,-
2697,Tapad,United States,Business Services & Supplies,34 ,-,-,-,135
2698,TAQA,United Arab Emirates,Electric Utilities,5300,-490,29600,1100,-
2699,Targa Resources,U.S.,Pipelines,6659,58 ,13254,4795,1870
2700,Targa Resources Corp.,United States,Oil & Gas Operations,6600,58,13300,6400,-
2701,Target,United States,Discount Stores,73800,3400,40300,49400,-
2702,Tata Consultancy Services,India,Computer Services,16600,3700,13500,71600,-
2703,Tata Motors,India,Auto & Truck Manufacturers,40500,2300,38900,20400,-
2704,Tata Steel,India,Iron & Steel,18700,-858,25200,5200,-
2705,Tatneft,Russia,Oil & Gas Operations,9000,1600,10900,11200,-
2706,Tauber Oil,United States,Oil & Gas Operations,2200,-,-,-,135
2707,Taylor,United States,Media,2000,-,-,-,10000
2708,Taylor Morrison Home,U.S.,Homebuilders,2977,61 ,4137,1708,1600
2709,Taylor Wimpey,United Kingdom,Construction Services,4800,749,6700,8300,-
2710,TCL Corp,China,Consumer Electronics,16400,326,19200,6800,-
2711,TD Ameritrade Holding,United States,Investment Services,3300,830,27200,17000,-
2712,TD Bank Group,Canada,Major Banks,29800,6200,834000,81800,-
2713,TDK,Japan,Electronics,9700,589,12600,8100,-
2714,TE Connectivity,Switzerland,Electronics,11900,2000,17800,21900,-
2715,Team Health Holdings,U.S.,Health Care: Pharmacy and Other Services,3597,83 ,4061,3075,18800
2716,Tech Data,United States,Electronics,26400,266,6400,2500,-
2717,Technip,France,Oil Services & Equipment,11500,50,14800,7100,-
2718,Techtronic Industries,Hong Kong,Household/Personal Care,5000,354,4800,7000,-
2719,Teck Resources,Canada,Diversified Metals & Mining,6500,-1900,25000,6000,-
2720,TECO Energy,U.S.,Utilities: Gas and Electric,2944,174 ,8961,6483,3713
2721,TEGNA,U.S.,Entertainment,3242,460 ,8538,5129,10020
2722,Tekom Technologies,TAIWAN,-,22,4,-,72,-
2723,Telecom Italia,Italy,Telecommunications services,21900,-80,77400,18400,-
2724,Teledyne Technologies,U.S.,"Scientific,Photographic and Control Equipment",2298,196 ,2719,3038,9200
2725,Telefnica,Spain,Telecommunications,60917,3045,133574,-,129890
2726,Telef®Ænica,Spain,Telecommunications services,52400,3000,133600,55200,-
2727,Telekom Indonesia,Indonesia,Telecommunications services,7800,1200,13300,27400,-
2728,Telenor,Norway,Telecommunications services,15600,470,23200,24600,-
2729,Telephone & Data Systems,U.S.,Telecommunications,5176,219 ,9423,3276,10400
2730,TeleSign,United States,IT Software & Services,74 ,-,-,-,250
2731,TeleWorld Solutions,United States,Telecommunications Services,31 ,-,-,-,315
2732,Teliasonera,Sweden,Telecommunications services,11500,1000,31000,21000,-
2733,Telstra,Australia,Telecommunications services,20200,3200,30900,50800,-
2734,TELUS,Canada,Telecommunications services,9700,1100,19000,18500,-
2735,Tempur Sealy International,U.S.,"Home Equipment, Furnishings",3151,74 ,2656,3706,7200
2736,Tenaga Nasional,Malaysia,Electric Utilities,11200,1500,27500,21000,-
2737,Tenaris,Luxembourg,Oil Services & Equipment,7100,-83,14900,16200,-
2738,Tenaska,United States,Multicompany,8000,-,-,-,687
2739,Tencent Holdings,China,Computer Services,16300,4600,47200,197400,-
2740,Tenet Healthcare,United States,Healthcare Services,18600,-140,23700,3200,-
2741,Tenneco,U.S.,Motor Vehicles and Parts,8209,247 ,3967,2963,30000
2742,Teradata,U.S.,Computer Software,2530,(214),2530,3383,11300
2743,Terex,U.S.,Construction and Farm Machinery,6543,146 ,5637,2702,20400
2744,Terna,Italy,Electric Utilities,2100,660,17200,10900,-
2745,Terumo,Japan,Medical Equipment & Supplies,4300,401,8200,15100,-
2746,Tesco,United Kingdom,Food Retail,82300,463,61200,21900,-
2747,Tesla Motors,U.S.,Motor Vehicles and Parts,4046,(889),8093,30343,13058
2748,Tesoro,United States,Oil & Gas Operations,28600,1500,16300,10300,-
2749,Tetra Tech,U.S.,"Engineering, Construction",2299,39 ,1559,1748,13000
2750,Teva Pharmaceutical,Israel,Pharmaceuticals,19600,1600,54300,58500,-
2751,Tewoo Group,China,Trading,64232,160 ,35187,-,17860
2752,Texas Instruments,United States,Semiconductors,13000,2900,16200,59000,-
2753,Textron,United States,Conglomerates,13600,719,15100,10800,-
2754,Textured Jersey,SRI LANKA,-,128,16,-,176,-
2755,Thai Beverage,Thailand,Beverages,5000,773,5100,13600,-
2756,Thai Oil,Thailand,Oil & Gas Operations,8600,355,5300,3900,-
2757,Thales,France,Aerospace & Defense,15600,848,23400,17800,-
2758,Thanachart Capital,Thailand,Regional Banks,1900,156,28400,1300,-
2759,The Kraft Group,United States,Materials,3500,-,-,-,5000
2760,The Priceline Group,United States,Business & Personal Services,9200,2600,17400,66400,-
2761,The Trade Desk,United States,Services,200 ,-,-,-,175
2762,Thermo Fisher Scientific,United States,Precision Healthcare Equipment,17000,2000,40900,57800,-
2763,Thomas Cook Group,United Kingdom,Business & Personal Services,11800,36,9000,2000,-
2764,Thomson Reuters,United States,Printing & Publishing,12200,1300,29100,30900,-
2765,Thor Industries,U.S.,Motor Vehicles and Parts,4007,199 ,1503,3347,10450
2766,Thorntons,United States,Convenience Stores & Gas Stations,2300,-,-,-,2000
2767,thredUP,United States,Trading Companies,19 ,-,-,-,350
2768,Thrillist,United States,Media,92 ,-,-,-,316
2769,Thrivent Financial for Lutherans,U.S.,"Insurance: Life, Health (Mutual)",8789,769 ,83532,-,3104
2770,ThyssenKrupp,Germany,Metals,48981,354 ,39838,-,154906
2771,ThyssenKrupp Group,Germany,Conglomerates,46900,262,38700,13800,-
2772,TIAA,U.S.,"Insurance: Life, Health (Mutual)",35181,1214,517963,-,12735
2773,Tianjin Chase Sun Pharmaceutical,CHINA / HONG KONG,-,533,85,-,2712,-
2774,Tiffany,U.S.,Specialty Retailers: Other,4105,464 ,5130,9249,12200
2775,Tiffany & Co.,United States,Specialty Stores,4100,464,5100,9200,-
2776,Time Warner,United States,Broadcasting & Cable,28100,3800,63800,60600,-
2777,Time Warner Cable,United States,Broadcasting & Cable,23700,1800,49300,57100,-
2778,Timken,U.S.,Industrial Machinery,2872,(71),2785,2659,14709
2779,Tingyi Holding,China,Food Processing,9100,256,8500,6500,-
2780,TJX,U.S.,Specialty Retailers,30945,2278,11500,-,216000
2781,TJX Cos,United States,Apparel/Footwear Retail,30900,2300,11500,50700,-
2782,TMB Bank,Thailand,Regional Banks,1400,280,23800,2900,-
2783,TMS International,United States,Manufacturing,2200,-,-,-,4500
2784,Toho Bank,Japan,Regional Banks,554,150,47900,859,-
2785,Tohoku Electric Power,Japan,Electric Utilities,17700,701,34100,6200,-
2786,Tokio Marine Holdings,Japan,Property & Casualty Insurance,35700,1800,182300,26500,-
2787,Tokyo Electric Power,Japan,Electric Utilities,52600,5000,115100,8800,-
2788,Tokyo Electron,Japan,Semiconductors,5600,774,6400,11700,-
2789,Tokyo Gas,Japan,Natural Gas Utilities,17000,1100,18300,11000,-
2790,Tokyo TY Financial Group,Japan,Regional Banks,647,72,43200,807,-
2791,Tokyu,Japan,Railroads,9000,491,16800,11000,-
2792,Tokyu Fudosan,Japan,Real Estate,7000,281,16700,4500,-
2793,Toll Brothers,U.S.,Homebuilders,4171,363 ,9207,4973,3900
2794,TonenGeneral Sekiyu,Japan,Oil & Gas Operations,21700,0,10100,3400,-
2795,Tongda Group Holdings,CHINA / HONG KONG,-,784,91,-,1087,-
2796,Tonghua Dongbao Pharmaceutical,CHINA / HONG KONG,-,265,78,-,4344,-
2797,Tongling Nonferrous Metals,China,Diversified Metals & Mining,14700,29,7200,4100,-
2798,TOPBI International Holdings,TAIWAN,-,169,26,-,261,-
2799,Topchoice Medical Investment,CHINA / HONG KONG,-,121,31,-,1589,-
2800,Toppan Printing,Japan,Printing & Publishing,12400,203,15600,6200,-
2801,Tops Holding,U.S.,Food and Drug Stores,2472,(62),1030,-,14800
2802,Tops Markets,United States,Food Markets,2500,-,-,-,14800
2803,Toray Industries,Japan,Diversified Chemicals,17400,699,20100,14200,-
2804,Torchmark,United States,Life & Health Insurance,3800,527,19900,6900,-
2805,Toro,U.S.,Construction and Farm Machinery,2391,202 ,1304,4689,6874
2806,Toronto-Dominion Bank,Canada,Banks: Commercial and Savings,30174,6361,844193,-,81483
2807,Toshiba,Japan,Electronics,52500,-4900,49600,9400,-
2808,Total,France,Oil & Gas Operations,143400,5000,224500,121900,-
2809,Total System Services,United States,Business & Personal Services,2800,362,3900,9300,-
2810,Tower International,U.S.,Motor Vehicles and Parts,2042,194 ,1216,576 ,8300
2811,Towers Watson,U.S.,Diversified Outsourcing Services,3645,385 ,5394,-,16300
2812,Towngas,Hong Kong,Natural Gas Utilities,3800,942,14900,21800,-
2813,Toyota Boshoku,Japan,Auto & Truck Parts,11600,189,5900,3300,-
2814,Toyota Industries,Japan,Auto & Truck Parts,18800,1500,39400,14800,-
2815,Toyota Motor,Japan,Auto & Truck Manufacturers,235800,19300,406700,177000,-
2816,Toyota Tsusho,Japan,Trading Companies,68900,316,35800,8600,-
2817,Toyou Feiji Electronics,CHINA / HONG KONG,-,58,11,-,2087,-
2818,Toys 'R' Us,United States,Retailing,11800,-,-,-,62000
2819,Toys ®πR®π Us,U.S.,Specialty Retailers: Other,11802,(130),6968,-,62000
2820,TPV Technology,Hong Kong,Computer Storage Devices,11000,-28,5900,384,-
2821,Tractor Supply,United States,Specialty Stores,6400,420,2600,12600,-
2822,Trafigura Group,Singapore,Trading,97237,1236,39087,-,5248
2823,Trammo,United States,Trading Companies,8900,-,-,-,475
2824,TransCanada,Canada,Oil Services & Equipment,8800,-896,46400,32000,-
