,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue,gold_labels
27754,27754,3048,2998,Japan,Trucking,4800,Nippon Express,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606,0
27854,27854,2455,3016,United States,Petroleum Refining,2194,Northern Tier Energy,Northern Technologies International Corporation,United States,Capital Goods,Industrial Specialties,82.55807765,0
28013,28013,2518,3044,United States,Pipelines,3147,NuStar Energy,"Nustar GP Holdings, LLC",United States,Energy,Natural Gas Distribution,1200.501385,0
28579,28579,2547,3147,United States,Property & Casualty Insurance,4800,Old Republic International,"Old Dominion Freight Line, Inc.",United States,Transportation,Trucking Freight/Courier Services,7056.635815,0
28700,28700,3053,3151,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,Old Republic International Corporation,United States,Finance,Property-Casualty Insurers,5382.413906,0
28830,28830,510,3189,United States,Aerospace and Defense,5098,Orbital ATK,"Orbital ATK, Inc.",United States,Capital Goods,Military/Government/Technical,5738.6007,1
28906,28906,3108,3213,United States,Wholesalers: Health Care,2540,Owens & Minor,"Owens & Minor, Inc.",United States,Health Care,Medical Specialities,2114.30265,1
28913,28913,3108,3215,United States,Wholesalers: Health Care,2540,Owens & Minor,"Owens Realty Mortgage, Inc.",United States,Consumer Services,Real Estate Investment Trusts,182.3966,0
29108,29108,2456,3225,United States,Petroleum Refining,771,Par Pacific Holdings,"Pacific Biosciences of California, Inc.",United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,478.9264173,0
29588,29588,3109,3270,United States,Wholesalers: Health Care,4611,Patterson,"Patterson Companies, Inc.",United States,Health Care,Medical Specialities,4393.37082,1
29600,29600,2329,3278,United States,Oil & Gas Operations,3300,PBF Energy,PBF Energy Inc.,United States,Energy,Integrated oil Companies,2422.819474,1
29779,29779,647,3301,United States,"Automotive Retailing, Services",3269,Penske Automotive Group,"Penske Automotive Group, Inc.",United States,Consumer Durables,Automotive Aftermarket,4001.051889,1
29783,29783,2900,3301,United States,Specialty Stores,3100,Penske Automotive,"Penske Automotive Group, Inc.",United States,Consumer Durables,Automotive Aftermarket,4001.051889,1
29837,29837,2998,3307,United States,Thrifts & Mortgage Finance,5000,People's United Financial,Peoples Financial Services Corp. ,United States,Finance,Major Banks,309.0751774,1
30040,30040,2496,3328,United States,Pharmaceuticals,205700,Pfizer,"Pfizer, Inc.",United States,Health Care,Major Pharmaceuticals,203724.8551,1
30294,30294,3073,3369,United States,Utilities: Gas and Electric,8343,Pinnacle West Capital,"Pinnacle Entertainment, Inc.",United States,Consumer Services,Hotels/Resorts,1099.976904,0
30302,30302,1339,3369,United States,Electric Utilities,7900,Pinnacle West,"Pinnacle Entertainment, Inc.",United States,Consumer Services,Hotels/Resorts,1099.976904,0
30335,30335,1500,3371,United States,Food Consumer Products,5211,Pinnacle Foods,"Pinnacle Foods, Inc.",United States,Consumer Non-Durables,Packaged Foods,6837.470071,1
30359,30359,1754,3372,United States,"Hotels, Casinos, Resorts",2144,Pinnacle Entertainment,Pinnacle West Capital Corporation,United States,Public Utilities,Electric Utilities: Central,9283.543291,0
30360,30360,1339,3372,United States,Electric Utilities,7900,Pinnacle West,Pinnacle West Capital Corporation,United States,Public Utilities,Electric Utilities: Central,9283.543291,0
30376,30376,2336,3373,United States,Oil & Gas Operations,25100,Pioneer Natural Resources,Pioneer Diversified High Income Trust,United States,n/a,n/a,134.8245422,0
30435,30435,2336,3377,United States,Oil & Gas Operations,25100,Pioneer Natural Resources,Pioneer Municipal High Income Advantage Trust,United States,n/a,n/a,262.3641271,0
30454,30454,2336,3378,United States,Oil & Gas Operations,25100,Pioneer Natural Resources,Pioneer Natural Resources Company,United States,Energy,Oil & Gas Production,31621.28842,0
30525,30525,2964,3389,Philippines,Telecommunications services,8400,PLDT,PLDT Inc.,Philippines,Public Utilities,Telecommunications Equipment,6948.353724,1
31472,31472,2645,3495,United States,Real Estate,23600,Prologis,"Prologis, Inc.",United States,Consumer Services,Real Estate Investment Trusts,27473.56196,1
31573,31573,2646,3525,United States,Real Estate,44500,Public Storage,Public Service Enterprise Group Incorporated,United States,Public Utilities,Power Generation,22450.73726,0
31760,31760,1691,3556,United States,Healthcare Services,10700,Quest Diagnostics,Quest Diagnostics Incorporated,United States,Health Care,Medical Specialities,13500.66115,1
32138,32138,2339,3607,United States,Oil & Gas Operations,-,Red Apple Group,"Red Robin Gourmet Burgers, Inc.",United States,Consumer Services,Restaurants,750.2388594,0
32511,32511,1818,3659,United States,Industrial Machinery,2050,Rexnord,Rexnord Corporation,United States,Technology,Industrial Machinery/Components,2387.094514,1
32530,32530,3008,3660,United States,Tobacco,68300,Reynolds American,Reynolds American Inc,United States,Consumer Non-Durables,Farming/Seeds/Milling,89931.89027,1
32767,32767,2716,3692,United States,"Scientific,Photographic and Control Equipment",18472,Roper Technologies,"Roper Technologies, Inc.",United States,Capital Goods,Industrial Machinery/Components,21036.01017,1
32804,32804,1746,3698,United States,Hotels & Motels,15900,Royal Caribbean Cruises,"Royal Gold, Inc.",United States,Basic Industries,Precious Metals,4576.579452,0
33077,33077,1569,3739,United States,Food Production,2036,Sanderson Farms,"Sanderson Farms, Inc.",United States,Consumer Non-Durables,Meat/Poultry/Fish,2360.68871,1
33101,33101,2763,3744,United States,Semiconductors and Other Electronic Components,1805,Sanmina,Sanmina Corporation,United States,Technology,Electrical Products,3012.600614,1
33130,33130,2967,3749,United States,Telecommunications services,13000,SBA Communications,SBA Communications Corporation,United States,Consumer Services,Real Estate Investment Trusts,14562.02881,1
33332,33332,848,3758,United States,Chemicals,4469,Scotts Miracle-Gro,Scotts Miracle-Gro Company (The),United States,Basic Industries,Agricultural Chemicals,5588.661844,1
33511,33511,1677,3777,United States,Health Care: Medical Facilities,1550,Select Medical Holdings,"Second Sight Medical Products, Inc.",United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,69.32972367,0
33559,33559,1677,3782,United States,Health Care: Medical Facilities,1550,Select Medical Holdings,Select Comfort Corporation,United States,Consumer Durables,Home Furnishings,1064.94525,0
34125,34125,2440,3835,United States,"Packaging, Containers",3211,Silgan Holdings,Silgan Holdings Inc.,United States,Consumer Durables,Containers/Packaging,3267.836739,1
34325,34325,2348,3856,South Korea,Oil & Gas Operations,13000,SK Innovation,"SK Telecom Co., Ltd.",South Korea,Public Utilities,Telecommunications Equipment,16017.46529,1
34346,34346,2752,3863,United States,Semiconductors,13600,Skyworks Solutions,"Skyworks Solutions, Inc.",United States,Technology,Semiconductors,18118.30052,1
34412,34412,649,3884,United States,"Automotive Retailing, Services",851,Sonic Automotive,"Sonic Automotive, Inc.",United States,Consumer Durables,Automotive Aftermarket,899.9487613,1
34436,34436,1077,3890,Japan,Consumer Electronics,34100,Sony,Sony Corp Ord,Japan,Consumer Non-Durables,Consumer Electronics/Appliances,42613.17193,1
34622,34622,538,3907,United States,Airline,30200,Southwest Airlines,Southwest Airlines Company,United States,Transportation,Air Freight/Delivery Services,33076.08321,1
34627,34627,3075,3908,United States,Utilities: Gas and Electric,3125,Southwest Gas,"Southwest Bancorp, Inc.",United States,Finance,Major Banks,488.7179253,0
34744,34744,2155,3945,United States,Medical Equipment & Supplies,17200,St Jude Medical,St. Joe Company (The),United States,Consumer Services,Homebuilding,1267.545183,0
34746,34746,2166,3945,United States,Medical Products and Equipment,15599,St. Jude Medical,St. Joe Company (The),United States,Consumer Services,Homebuilding,1267.545183,0
34888,34888,2903,3955,United States,Specialty Stores,6800,Staples,"Staples, Inc.",United States,Consumer Services,Other Specialty Stores,5722.68653,1
35074,35074,3080,3972,United States,Waste Management,10682,Stericycle,"Stericycle, Inc.",United States,Basic Industries,Environmental Services,7066.136761,1
35255,35255,1159,4004,Japan,Diversified Chemicals,7800,Sumitomo Chemical,Sumitomo Mitsui Financial Group Inc,Japan,Finance,Commercial Banks,49561.38784,0
35263,35263,250,4004,Japan, Banks,13000,Sumitomo Mitsui Trust,Sumitomo Mitsui Financial Group Inc,Japan,Finance,Commercial Banks,49561.38784,1
35777,35777,2572,4074,Taiwan,Railroads,2700,Taiwan High Speed Rail,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan,Technology,Semiconductors,170308.24,0
36038,36038,1453,4099,United States,"Engineering, Construction",1748,Tetra Tech,Tech Data Corporation,United States,Technology,Retail: Computer Software & Peripheral Equipment,3568.434604,0
36239,36239,991,4131,United States,Construction and Farm Machinery,2702,Terex,Terex Corporation,United States,Capital Goods,Construction/Ag Equipment/Trucks,3325.26,1
36338,36338,958,4152,United States,Conglomerates,10800,Textron,Textron Inc.,United States,Capital Goods,Aerospace,12851.40752,1
36480,36480,2528,4206,United States,Printing & Publishing,30900,Thomson Reuters,Thomson Reuters Corp,United States,Consumer Services,Publishing,31290.441,1
36572,36572,1820,4218,United States,Industrial Machinery,2659,Timken,Timken Steel Corporation,United States,Basic Industries,Steel/Iron Ore,839.0546645,1
37057,37057,501,4253,United States,Aerospace & Defense,12100,TransDigm Group,Transdigm Group Incorporated,United States,Capital Goods,Military/Government/Technical,11634.24842,1
37117,37117,1502,4262,United States,Food Consumer Products,4892,TreeHouse Foods,"Treehouse Foods, Inc.",United States,Consumer Non-Durables,Packaged Foods,4812.923201,1
37361,37361,2662,4302,United States,Real Estate,2700,Two Harbors Investment,Two Harbors Investments Corp,United States,Consumer Services,Real Estate Investment Trusts,3346.056298,1
37488,37488,562,4327,United States,Apparel,18446,Under Armour,"Under Armour, Inc.",United States,Consumer Non-Durables,Apparel,8674.132538,1
37515,37515,2574,4334,United States,Railroads,75400,Union Pacific,"Union Bankshares, Inc.",United States,Finance,Major Banks,191.6486983,0
37525,37525,2574,4335,United States,Railroads,75400,Union Pacific,Union Pacific Corporation,United States,Transportation,Railroads,86197.19182,1
37660,37660,540,4345,United States,Airline,17100,United Continental Holdings,"United Continental Holdings, Inc.",United States,Transportation,Air Freight/Delivery Services,22224.94407,1
37905,37905,856,4355,United States,Commercial Banks,70518,United States Bancorp,United States Antimony Corporation,United States,Capital Goods,Metal Fabrications,33.13892738,0
37916,37916,2185,4356,United States,Metals,2350,United States Steel,United States Cellular Corporation,United States,Public Utilities,Telecommunications Equipment,3167.41317,0
37944,37944,856,4357,United States,Commercial Banks,70518,United States Bancorp,"United States Lime & Minerals, Inc.",United States,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),440.4908156,0
37966,37966,856,4358,United States,Commercial Banks,70518,United States Bancorp,United States Steel Corporation,United States,Basic Industries,Steel/Iron Ore,5892.770629,0
38040,38040,1694,4367,United States,Healthcare Services,12600,Universal Health,Universal American Corp.,United States,Health Care,Medical Specialities,592.499473,0
38045,38045,1649,4367,United States,Forest and Paper Products,1738,Universal Forest Products,Universal American Corp.,United States,Health Care,Medical Specialities,592.499473,0
38052,38052,1649,4368,United States,Forest and Paper Products,1738,Universal Forest Products,Universal Corporation,United States,Consumer Services,Farming/Seeds/Milling,1788.096517,0
38086,38086,1678,4371,United States,Health Care: Medical Facilities,12181,Universal Health Services,"Universal Forest Products, Inc.",United States,Basic Industries,Forest Products,2004.455578,0
38103,38103,1678,4372,United States,Health Care: Medical Facilities,12181,Universal Health Services,Universal Health Realty Income Trust,United States,Consumer Services,Real Estate Investment Trusts,877.142208,0
38160,38160,1649,4373,United States,Forest and Paper Products,1738,Universal Forest Products,"Universal Health Services, Inc.",United States,Health Care,Hospital/Nursing Management,12021.46392,0
38178,38178,1678,4375,United States,Health Care: Medical Facilities,12181,Universal Health Services,"Universal Logistics Holdings, Inc.",United States,Transportation,Trucking Freight/Courier Services,408.1555289,0
38180,38180,1649,4376,United States,Forest and Paper Products,1738,Universal Forest Products,"Universal Security Instruments, Inc.",United States,Consumer Non-Durables,Electronic Components,6.82301665,0
38204,38204,1694,4377,United States,Healthcare Services,12600,Universal Health,"Universal Stainless & Alloy Products, Inc.",United States,Basic Industries,Steel/Iron Ore,127.638618,0
38303,38303,3107,4389,United States,Wholesalers: Food and Grocery,-,US Foods Holding,US Foods Holding Corp.,United States,Consumer Non-Durables,Food Distributors,6206.455721,1
38361,38361,1010,4396,United States,Construction Materials,4200,USG,USG Corporation,United States,Capital Goods,Building Materials,4648.616347,1
38472,38472,1478,4413,United States,Financial Data Services,10311,Vantiv,"Vantiv, Inc.",United States,Miscellaneous,Business Services,12633.64862,1
38564,38564,2664,4423,United States,Real Estate,20300,Ventas,"Ventas, Inc.",United States,Consumer Services,Real Estate Investment Trusts,23064.68044,1
38599,38599,735,4443,United States,Broadcasting & Cable,17300,Viacom,Viacom Inc.,United States,Consumer Services,Television Services,16198.59042,1
38756,38756,2765,4468,United States,Semiconductors and Other Electronic Components,1803,Vishay Intertechnology,"Vishay Precision Group, Inc.",United States,Capital Goods,Electrical Products,208.790838,1
38759,38759,644,4472,United States,Auto & Truck Parts,2800,Visteon,Visteon Corporation,United States,Capital Goods,Auto Parts:O.E.M.,3213.854102,1
38934,38934,1976,4488,United States,Investment Services,6700,Voya Financial,"Voya Financial, Inc.",United States,Finance,Life Insurance,7191.185257,1
39304,39304,1362,4534,United States,Electric Utilities,17900,WEC Energy Group,"WEC Energy Group, Inc.",United States,Public Utilities,Power Generation,19133.62898,1
39399,39399,2112,4540,United States,Managed Health Care,4200,WellCare Health Plans,"WellCare Health Plans, Inc.",United States,Health Care,Medical Specialities,6211.523971,1
39430,39430,2669,4546,United States,Real Estate,24300,Welltower,Welltower Inc.,United States,Consumer Services,Real Estate Investment Trusts,25722.24056,1
39440,39440,3055,4548,United States,"Trucking, Truck Leasing",1957,Werner Enterprises,"Werner Enterprises, Inc.",United States,Transportation,Trucking Freight/Courier Services,1891.449867,1
39588,39588,772,4561,United States,Business & Personal Services,9900,Western Union,Western Asset Bond Fund,United States,n/a,n/a,158.9080404,0
39598,39598,2362,4562,United States,Oil & Gas Operations,2600,Western Refining,Western Asset Corporate Loan Fund Inc,United States,n/a,n/a,112.0771438,0
39599,39599,1848,4562,United States,"Insurance: Life, Health (Mutual)",-,Western & Southern Financial Group,Western Asset Corporate Loan Fund Inc,United States,n/a,n/a,112.0771438,0
39612,39612,1490,4563,United States,Food and Drug Stores,1212,Weis Markets,Western Asset Emerging Markets Debt Fund Inc,United States,n/a,n/a,941.563186,0
39613,39613,772,4563,United States,Business & Personal Services,9900,Western Union,Western Asset Emerging Markets Debt Fund Inc,United States,n/a,n/a,941.563186,0
39668,39668,1848,4566,United States,"Insurance: Life, Health (Mutual)",-,Western & Southern Financial Group,Western Asset High Income Fund II Inc.,United States,n/a,n/a,622.3918403,0
39675,39675,772,4567,United States,Business & Personal Services,9900,Western Union,"Western Asset High Income Opportunity Fund, Inc.",United States,n/a,n/a,651.3303434,0
39685,39685,2362,4568,United States,Oil & Gas Operations,2600,Western Refining,Western Asset Intermediate Muni Fund Inc,United States,n/a,n/a,134.3452851,0
39701,39701,921,4569,United States,Computer Storage Devices,10200,Western Digital,Western Asset Investment Grade Defined Opportunity Trust Inc.,United States,n/a,n/a,220.202415,0
39720,39720,772,4569,United States,Business & Personal Services,9900,Western Union,Western Asset Investment Grade Defined Opportunity Trust Inc.,United States,n/a,n/a,220.202415,0
39725,39725,772,4570,United States,Business & Personal Services,9900,Western Union,"Western Asset Managed Municipals Fund, Inc.",United States,n/a,n/a,592.4498307,0
39775,39775,772,4573,United States,Business & Personal Services,9900,Western Union,Western Asset Municipal Defined Opportunity Trust Inc,United States,n/a,n/a,272.5785354,0
39784,39784,921,4574,United States,Computer Storage Devices,10200,Western Digital,"Western Asset Municipal High Income Fund, Inc.",United States,n/a,n/a,156.4061128,0
39792,39792,2362,4575,United States,Oil & Gas Operations,2600,Western Refining,"Western Asset Municipal Partners Fund, Inc.",United States,n/a,n/a,146.8550419,0
39838,39838,2362,4578,United States,Oil & Gas Operations,2600,Western Refining,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,United States,n/a,n/a,335.5489697,0
39876,39876,772,4581,United States,Business & Personal Services,9900,Western Union,"Western Gas Partners, LP",United States,Public Utilities,Natural Gas Distribution,8646.169122,0
39923,39923,1161,4586,United States,Diversified Chemicals,6700,Westlake Chemical,Westlake Chemical Corporation,United States,Basic Industries,Major Chemicals,8515.496448,0
39978,39978,2670,4593,United States,Real Estate,24700,Weyerhaeuser,Weyerhaeuser Company,United States,Consumer Services,Real Estate Investment Trusts,25450.96132,1
40187,40187,2387,4610,United States,Oil Services & Equipment,14700,Williams,"Williams Companies, Inc. (The)",United States,Public Utilities,Natural Gas Distribution,24436.12973,1
40208,40208,2930,4614,United States,Telecommunications,703,Windstream Holdings,"Windstream Holdings, Inc.",United States,Public Utilities,Telecommunications Equipment,1008.595122,1
40486,40486,563,4641,United States,Apparel,1840,Wolverine World Wide,"Wolverine Bancorp, Inc.",United States,Finance,Banks,68.37850242,1
40493,40493,275,4644,South Korea, Banks,6200,Woori Bank,Woori Bank,South Korea,Finance,Commercial Banks,7890.424575,1
40512,40512,2908,4649,United States,Specialty Stores,3500,World Fuel Services,World Fuel Services Corporation,United States,Energy,Oil Refining/Marketing,2535.087744,1
40524,40524,563,4649,United States,Apparel,1840,Wolverine World Wide,World Fuel Services Corporation,United States,Energy,Oil Refining/Marketing,2535.087744,0
40541,40541,2908,4650,United States,Specialty Stores,3500,World Fuel Services,"World Wrestling Entertainment, Inc.",United States,Consumer Services,Movies/Entertainment,1698.695713,0
40796,40796,3056,4688,United States,"Trucking, Truck Leasing",310,YRC Worldwide,"YRC Worldwide, Inc.",United States,Transportation,Trucking Freight/Courier Services,369.3015132,1
40906,40906,279,4704,United States, Banks,5600,Zions Bancorp,Zions Bancorporation,United States,Finance,Major Banks,8501.753568,1
