PreviousRank,CurrentRank,CompanyName,Industry,Revenues($M),Assets($M),CEO,Profits,YearsOnFortune500,HQLocation,RevChange,ProfitChange,Sector,BrandIndex,Employees,MktValue_03/31/16,intro
56,55,Pfizer,Pharmaceuticals,"$48,851","$167,460",Ian C. Read,"$6,960",22,"New York, NY",-1.5%,-23.8%,Health Care,B,"97,900","$183,298","Pfizer will have to find a way to boost profits that doesn’t entail cutting its tax bill. In early 2016, the U.S. Treasury Department scuttled its planned inversion with Ireland-based Allergan, which would have moved the Big Pharma company’s headquarters overseas. The New York-based drug maker, which benefited from its blockbuster medication Lipitor before it went off patent, was hoping to reduce its tax rate through the $150 billion deal, which would have been the largest pharmaceutical merger in history. Instead, Pfizer will have to focus on reviving its core business, which has been in decline. The company’s sales dropped 1.5% in 2015 as it still deals with the impact of patent expirations on some of its biggest drugs. Its profits, meanwhile, fell nearly 24%, largely due to a surge in acquisition-related costs, which more than quintupled from the previous year due to Pfizer’s purchase of Hospira in early 2015. Pfizer’s stock fell 14.2% in 2015, a result of its performance as well as concerns that drug price regulation could hamper its profitability."
48,56,Dow Chemical,Chemicals,"$48,778","$68,026",Andrew N. Liveris,"$7,685",22,"Midland, MI",-16.1%,103.7%,Chemicals,B,"49,495","$56,816","Dow decided a year ago that it could no longer go it alone. In late 2015, it agreed to acquire long-time rival DuPont in a deal that will create a $120 billion company. But the deal making won’t stop there–after the merger, it plans to break the newly formed company into three separate companies, one focused on the seed and agricultural businesses, another on materials, and a third on so-called specialty materials, such as DuPont’s protective Kevlar products. The eventual goal — and hope — is that the restructurings will create companies that are big enough to dominate their fields but also remain focused. But it’s a huge undertaking and all that corporate shuffling can create integration risk. Marrying two companies and then breaking them up is bound to cause some disruption in Dow and DuPont’s multiple businesses. And to top it off, the global economic slowdown is already causing some pain at both companies in advance of the merger."
61,57,Sysco,Wholesalers: Food and Grocery,"$48,681","$17,989",William J. DeLaney III,$687,22,"Houston, TX",4.7%,-26.3%,Wholesalers,B+,"51,700","$26,384","In mid-2015, food distributor Sysco called off a planned $3.5 billion merger with U.S. Foods. Regulators killed the deal as the Federal Trade Commission filed a lawsuit that said it would have given the combined company 75% of the national market for distribution services. The failed merger was hard to digest: Sysco had to pay a $300 million break-up fee to walk away from the agreement. And for the first nine months of 2016, sales were flat at $36.7 billion. Sysco also announced a three-year plan in February 2016 to cut 2% of its workforce and invest more aggressively in technology. U.S. Foods, meanwhile, pivoted with a recent initial public offering that raised around $1 billion."
65,58,FedEx,"Mail, Package, and Freight Delivery","$47,453","$37,069",Frederick W. Smith,"$1,050",22,"Memphis, TN",4.1%,-49.9%,Transportation,A+,"323,035","$43,678","The logistics giant is riding the e-commerce wave. Smaller than its rival UPS, FedEx specializes in the less lucrative domain of express delivery. The company has an extensive footprint across the globe, including a driver network that boasts more than 100,000 vehicles. Last year the company picked up Dutch delivery company TNT Express for nearly $5 billion in a deal that boosts its presence in Europe. Investors got the jitters earlier this year when Amazon said it would lease 20 Boeing planes for an air cargo fleet, positioning itself as a possible competitor to FedEx down the line. However, shipping is a tough business that requires ample infrastructure and expertise, which FedEx has in spades."
54,59,Caterpillar,Construction and Farm Machinery,"$47,011","$78,497",D. James Umpleby III,"$2,102",22,"Peoria, IL",-14.8%,-43.1%,Industrials,A-,"112,200","$44,571","Weakening economic growth in China and Brazil hit Caterpillar hard last year, as did lower global commodity prices. As a result, the big machine manufacturer suffered big losses, slipping down five spots on this year’s Fortune 500 list. At $47 billion, its 2015 sales were down nearly 15% from the year before. Lower oil prices were particularly painful, sending orders for machines that support oil drilling and well servicing down close to 90% from the year before. But there are potential bright spots: The 91-year-old company is investing in predictive analytics offerings, connecting their machines with data-gathering sensors, and partnering with tech players to create new revenue streams."
64,60,Lockheed Martin,Aerospace and Defense,"$46,132","$49,128",Marillyn A. Hewson,"$3,605",22,"Bethesda, MD",1.2%,-0.2%,Aerospace & Defense,B+,"126,000","$67,508","Bad news for global stability usually means good news at defense giants like Lockheed Martin. With the threat of terrorism and, as a result, military budgets on the rise, the company is enjoying a favorable outlook. One of Lockheed’s major moneymakers is its F-35 joint strike fighter jet, which accounts for a fifth of its business. The world’s largest defense contractor plans to ship 53 of them this year, up from 45 in 2015. Lockheed’s $9 billion acquisition of Sikorsky Aircraft from United Technologies Corporation last year has provided revenue lifts at the same time that the company offloads its government IT services business."
80,61,New York Life Insurance,"Insurance: Life, Health (Mutual)","$45,891","$271,668",Theodore A. Mathas,$257,22,"New York, NY",18.6%,-84.0%,Financials,B,"11,463",-,"For a second consecutive year, New York Life Insurance’s managed assets soared past $500 billion in 2015—and that wasn’t the only highlight in the mutual life insurance behemoth’s most recent annual report. The firm also brought in a record $1.3 billion in sales, is planning a record $1.7 billion dividend payout to policyholders in 2016, and achieved operating earnings of $1.9 billion (second only to its record $2.02 billion in 2014 operating earnings). New York Life, along with AIG, also sold an industry-topping $3 billion in fixed annuities in the first quarter of 2016. Analysts from Limra expect sales in the fixed annuity market to continue spiking in the face of market volatility."
63,62,Coca-Cola,Beverages,"$44,294","$90,093",Muhtar Kent,"$7,351",22,"Atlanta, GA",-3.7%,3.6%,"Food, Beverages & Tobacco",A+,"123,200","$200,845","After calling 2015 a “transition year,” the beverage giant struck a bullish tone in February 2016 when it said organic revenue for the year would rise 4% to 5%. It stuck to that target in April despite a more modest increase of just 2% for the first three months of the year. The problem? Wall Street analysts didn’t believe the company could hit that target, and they called out Coke’s top management. Wall Street doubts Coke can hit its 2016 revenue target. That put CEO Muhtar Kent, who saw his total 2015 pay slashed by 42%, on the defense. “We are confident, definitely, in the strategy and initiatives in place to support our growth targets over the course of the year,” Kent said in April. The soda industry’s sales are facing challenges in mature markets as consumers pivot to drinks they deem healthier. And while packaged water is selling strongly and Coke has made investments in startups and even recently made a big splashy launch into the milk category, soda remains a big sales driver. So for now, Coke remains highly dependent on convincing consumers to add soda to their shopping carts."
75,63,HCA Holdings,Health Care: Medical Facilities,"$43,591","$32,744",R. Milton Johnson,"$2,129",22,"Nashville, TN",8.7%,13.5%,Health Care,D-,"203,500","$30,890","The Nashville-based hospital chain is the nation’s largest and it has benefited from the Affordable Care Act in recent years–namely, by the increased number of insured patients seeking healthcare. HCA’s revenues jumped 8.7% and profits 13.5% in 2015, due to increased admissions–ER visits climbed 8% across the enterprise–as well as increased revenue per admission. Executives have warned the Obamacare boost won’t last much longer. Also worrying to investors: the creeping cost of labor and the rise in uninsured patient visits."
62,64,Ingram Micro,Wholesalers: Electronics and Office Equipment,"$43,026","$12,307",Alain Monie,$215,20,"Irvine, CA",-7.4%,-19.3%,Wholesalers,C,"27,700","$5,328","In 1996, Nashville’s renowned Ingram family helped take the electronics and information technology distributor Ingram Micro public on the New York Stock Exchange. Now 20 years later, the Ingram family aims to sell its last remaining shares of Ingram Micro as the Chinese conglomerate HNA Group plans to buy the supply chain company for $6 billion. The deal, announced in February 2016, is the latest in a series of big acquisitions involving Chinese business consortiums wanting to bulk up on foreign companies and investments while China’s economy slows. After the deal closes, which is expected in the later half of 2016, Ingram Micro will become a subsidiary of Tianjin Tianhai Investment Company, itself a subsidiary of HNA Group, and its headquarters will remain in Irvine, California. HNA Group said that Ingram Micro will be the conglomerate’s biggest business in terms of revenue and will help it expand internationally."
53,65,Energy Transfer Equity,Pipelines,"$42,126","$71,189",John W. McReynolds,"$1,189",10,"Dallas, TX",-24.4%,87.8%,Energy,D+,"30,078","$7,449","Energy Transfer Equity is an oil and gas pipeline empire built by billionaire Kelcy Warren with a spate of M&A deals (Sunoco, Southern Union) that paid off handsomely during the shale boom. At the start of the year, it had a network of around 71,000 miles of pipelines pumping natural gas, natural gas liquids, refined products, and crude oil. But Warren’s luck ran out last year with a miscalculated approach for Williams Companies, just as the oil price crash took its toll on the ‘midstream’ segment. ETE persuaded Williams to sell itself in September, but the value of both companies has tumbled since then. ETE originally agreed to pay $32.6 billion, including $6 billion in cash and the rest in ETE shares. Today, Williams is worth only $16 billion, and ETE is struggling to raise the cash after a sharp decline in its own share price. A bitter and complex legal battle has ensued. Williams, which originally refused Kelcy’s advances, is now suing to force the merger through, and to reverse an issue of convertible debt by ETE that would dilute its shareholders’ stake in the combined company."
83,66,Tyson Foods,Food Production,"$41,373","$23,004",Thomas P. Hayes,"$1,220",22,"Springdale, AR",10.1%,41.2%,"Food, Beverages & Tobacco",B+,"113,000","$26,331","Tyson’s 2014 purchase of Hillshire Brands for nearly $8 billion has paid off big time for the largest meatpacking company in the U.S. The additions of brands like Jimmy Dean, Ball Park, and Sara Lee helped Tyson hit record earnings in its prepared foods business last fiscal year. Profits at the company overall were up 41%. The Hillshire deal is part of the company’s strategy to focus on less commoditized products, an approach that also led to record earnings in its chicken operation. Tyson had a tough year in beef due to tight supply for cattle, which has led the company to cut back on its beef processing operations. Tyson is increasingly looking abroad for growth, although its chicken production in China took a hit as economic growth there slowed."
70,67,American Airlines Group,Airlines,"$40,990","$48,415",W. Douglas Parker,"$7,610",22,"Fort Worth, TX",-3.9%,164.1%,Transportation,B+,"118,500","$24,730","American staged an extraordinary comeback by shrinking its costs in bankruptcy, then greatly expanding its domestic network by merging with U.S. Airways. That combination capped the historic wave of consolidation to create the world’s largest carrier. Under CEO Doug Parker, American’s profits are still waxing: In the first quarter of 2016, operating income rose 9.8%, aided by an almost 30% drop in fuel costs. Still, the tailwinds that propelled American to record earnings are beginning to wane. Though Americans are still flying in record numbers, the steep fall in fuel oil prices, and the robust earnings it produced, has emboldened both major and ultra-low-cost carriers to offer a lot more seats on high-traffic routes, pushing down fares. Many of those new seats are taking flight in American’s best markets. In late 2014, a ban that prevented Southwest from flying most long-haul routes from Dallas’ Love Field was lifted. Since then, Southwest has be offering bargain fares to big cities from American’s home market, and ultra-low-cost carrier Spirit is luring budget travelers as well, forcing American to follow suit on prices. The depression in Brazil and chaos in Venezuela are hitting its big Latin American business. In the first quarter, American’s revenues slipped 4% from the same period in 2015, and its revenue for each seat flown fell 7.5%. Times are still good for American, but a new era of sustained profitability matching the recent peaks is far from certain."
73,68,Delta Air Lines,Airlines,"$40,704","$53,134",Edward H. Bastian,"$4,526",22,"Atlanta, GA",0.8%,586.8%,Transportation,A-,"82,949","$37,898","In February, Delta made the surprise announcement that CEO Richard Anderson would retire years at age 61, ending the reign of the top leader in the industry’s revival. It was Anderson who orchestrated the successful merger with Northwest in 2008, nurtured the best labor relations in the business, and built a premium brand in skies where a seat is mainly a commodity. His successor––Anderson remains executive chairman––is former president and Anderson’s long-time lieutenant Ed Bastian, who’s sworn to maintain Delta’s industry-leading performance in the top metrics for consumer service, including on-time arrivals and fewest cancellations. Delta boasts the most lucrative mix of traffic among the Big Four because it attracts the highest proportion of business passengers paying premium fares. In the first quarter, for example, its revenues for every seat flown one mile easily topped the figure for of its rivals. Still, Delta’s revenues fell 4% in Q1, hit by flagging demand in Europe and Asia. That’s not stopping Bastian from pursuing Anderson’s long-term strategy of expanding in the foreign with the greatest potential for growth––a pursuit that’s leading Delta to establish a major hub in Shanghai."
85,69,Nationwide,Insurance: Property and Casualty (Mutual),"$40,222","$185,306",Stephen S. Rasmussen,$581,22,"Columbus, OH",10.9%,34.5%,Financials,A-,"34,032",-,"The property and casual insurer has continued its transition to a single Nationwide brand for all its subsidiaries. So far the consolidation is paying off. Revenues increased 11% last year, and profits jumped nearly 35%. The boost was in part due to its financial services arm. That business benefited from booming sales of life insurance and retirement plans, as well as an expansion in the assets under management. Assets in Nationwide’s mutual funds and retirement plans have ballooned during the ongoing bull market, surpassing $210 billion at the end of last year. That’s generating higher fees for the Columbus, Ohio-based company. As a result, Nationwide rose 16 spots on the Fortune 500, to No. 69 on this year’s list."
66,70,Johnson Controls,Motor Vehicles and Parts,"$40,204","$29,673",Alex A. Molinaroli,"$1,563",22,"Milwaukee, WI",-8.3%,28.6%,Motor Vehicles & Parts,B,"139,000","$25,262","Johnson Controls saw a revenue decrease of around 4% in fiscal year 2015, due mostly to a deconsolidation of the company’s auto interiors business and unfavorable foreign exchange rates. The company is focusing on growth technologies in 2016 and plans to spin off its auto seating and interiors business in October 2016. The new company will be called Advent and will be a completely separate publicly traded company, listed on the NYSE. Furthermore, it also plans to merge with Tyco, a fire and security provider based in Ireland."
72,71,Best Buy,Specialty Retailers: Other,"$39,745","$13,519",Hubert B. Joly,$897,22,"Richfield, MN",-5.2%,-27.3%,Retailing,A+,"125,000","$10,489","Best Buy has defied expectations it could thrive in an era of online shopping. Through moves like creating areas that focus on such product categories as smart homes; partnering with Apple; and overhauling its tech-assistance Geek Squad services business, Best Buy has managed to keep stores relevant. Still, the retailer has been slammed by low TV prices and softness in the mobile phone sales, resulting in a weak holiday season in 2015, again raising questions about how long it can keep fending off Amazon. In the meantime, Best Buy continues to try new things, like shop in shops at some Macy’s stores."
71,72,Merck,Pharmaceuticals,"$39,498","$101,779",Kenneth C. Frazier,"$4,442",22,"Kenilworth, NJ",-6.5%,-62.7%,Health Care,B,"68,000","$146,839","Revenue for the 165-year-old drug maker slid 6.5% in 2015 largely due to currency fluctuations and divestitures. In the U.S., sales grew on the strong performance of its diabetes and cancer medications and as a result of its $8.3 billion acquisition of antibiotic maker Cubist Pharmaceuticals. The company also pressed ahead with restructuring efforts–it shed 2,000 jobs in 2015–and kept pace in the industry immunotherapy race, with the widening range of approved uses for Keytruda, Merck’s breakthrough immuno-oncology drug."
78,73,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),"$39,450","$121,707",David H. Long,$514,22,"Boston, MA",-0.9%,-72.0%,Financials,B+,"50,000",-,"The 8.3 magnitude earthquake in Chile and resulting floods hit Liberty Mutual hard in 2015. Profits at the property and casual insurance company sunk 72% due in part to higher losses from catastrophe claims, both in Chile as well as other parts of the world. The Boston-based insurer also invests in energy projects including oil and gas wells, but those investments have fared poorly as energy prices have fallen, contributing to Liberty Mutual’s earnings declines. The 104-year-old company’s revenues also fell nearly 1% in 2015, though it still managed to climb five spots on the Fortune 500, to No. 73."
76,74,Goldman Sachs Group,Commercial Banks,"$39,208","$861,395",Lloyd C. Blankfein,"$6,083",17,"New York, NY",-2.2%,-28.2%,Financials,C+,"36,800","$69,253","Goldman Sachs’ business model is not as precious as it used to be. CEO Lloyd Blankfein, back after a bout with cancer, is embarking on a cost cutting effort. At the same time the bank is changing its long-held focus on the top tiers of corporate America, and the 1%. It recently announced a plan to start an internet bank that caters to middle income Americans. Goldman also in early 2016 bought a company that manages 401(k) plans for small businesses. All of those moves will hopefully boost Goldman’s profitability, which is still way below where it was before the financial crisis."
74,75,Honeywell International,"Electronics, Electrical Equip.","$38,581","$49,316",David M. Cote,"$4,768",22,"Morris Plains, NJ",-4.3%,12.5%,Industrials,B+,"129,000","$85,308","Since taking charge in 2002, Dave Cote has built one of the world’s most successful industrial conglomerates by making roughly ninety opportunistic acquisitions in such diverse fields as hand-held scanners, gas detection equipment, and such protective gear, notably firemen’s helmets and boots. In early 2015, Cote veered from that deliberate strategy to launch a $90 billion bid for rival United Technologies. Anti-trust issues, and complaints from Boeing and Airbus, who wanted to keep both suppliers as competitors, killed the campaign. Since then, Cote has excelled at his regular practice of buying mundane-sounding industrial businesses, then strongly improving their profitability. Last year, he plowed $5.8 billion into new deals, including the purchase of German gas meter-maker Elster. He’s juggling divestitures as well, unveiling a plan to spin off the resins and chemicals business. The Cote treatment still works: In 2015, Honeywell delivered its sixth straight year of double-digit increases in EPS. His contract expires in late 2017, but it’s certain that shareholders would love to see the GE veteran stay on the job."
94,76,Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)","$38,243","$266,550",Roger W. Crandall,"$1,425",22,"Springfield, MA",13.9%,7.4%,Financials,B,"11,593",-,"After growing its financial advisor network to 5,800 last year, MassMutual has continued expanding its workforce. In February, it bought rival MetLife’s network of 4,000 life insurance agents for $300 million. That expansion appears to be paying off. Sales jumped 14% last year, pushing MassMutual up 18 spots on the Fortune 500. Still, low interest rates and market volatility contributed to a slight decline in the insurance company’s assets under management and fee income from overseeing those funds. Overall, though, profits rose 7% for the Springfield, Mass.-based company, not a bad performance in a tough market for insurers."
81,77,Oracle,Computer Software,"$38,226","$110,903","Safra A. Catz, Mark V. Hurd","$9,938",21,"Redwood City, CA",-0.1%,-9.3%,Technology,B,"132,000","$169,771","Much like almost every other tech company more than a decade old, Oracle continues to navigate in the tricky new world of cloud-deployed software. Recently, Oracle has been buying companies that have expertise in delivering software from their own servers on a subscription basis. That’s a big change from selling databases for an upfront fee that run on customer servers and are updated every few years. But as serious as Oracle has been about adding new business software, its ace-in-the-hole remains its flagship database. Now Oracle offers more than one way to deploy it. On a March 2016 earnings call, execs said 350,000 customers run Oracle’s database in-house, but that any number may start moving some of that work to Oracle’s cloud infrastructure. The risk is that they can also run Oracle databases on Amazon and Microsoft clouds, and that those two clouds offer other database choices. Oracle claims big gains in cloud-related software sales but it’s unclear if and when they will offset declining sales of old-style (but very profitable) software licenses."
82,78,Morgan Stanley,Commercial Banks,"$37,897","$787,465",James P. Gorman,"$6,127",22,"New York, NY",-0.1%,76.7%,Financials,B,"56,218","$48,984","Morgan Stanley has put money management ahead of investment banking since the financial crisis in an effort to make the firm more stable in the next economic downturn. The move may have made the Wall Street firm less risky. But it also made it less profitable. Analysts have been questioning whether the company can break into the double digits on return on equity, a widely watched measure of profitability on Wall Street. In order to get there, CEO James Gorman has been cutting costs, most recently by firing more bond traders in an effort to help the bottom line without hurting sales too much. Gorman will need to get the formula right soon or he could find himself following those bond traders out the door as well."
90,79,Cigna,Health Care: Insurance and Managed Care,"$37,876","$57,088",David M. Cordani,"$2,094",22,"Bloomfield, CT",8.5%,-0.4%,Health Care,B,"39,300","$35,101","The health insurer–the fifth largest in the U.S.–agreed last year to be acquired by its rival Anthem for $48.4 billion. The move should give the combined company greater scale and help it cut costs, something that is sorely needed, particularly now as the Affordable Care Act has eaten into profits across the industry. While Cigna, like its peers, has had to deal with high medical expenses from its newly insured customers since the health care law went into effect, the impact on the company has been minimal: Cigna’s individual health plans, which were sold on ObamaCare exchanges in eight states in 2015, only represent 1% of its total medical insurance company’s customers. Although the company’s CEO said late last year that it hasn’t made any money on its ACA business so far, Cigna’s profits only declined very slightly in 2015, and its revenues rose 8.5%. It is still waiting on U.S. regulators to approve its deal with Anthem, and it is unclear how long that will take, given increased federal scrutiny of M&A."
79,80,United Continental Holdings,Airlines,"$37,864","$40,861",Oscar Munoz,"$7,340",22,"Chicago, IL",-2.7%,548.4%,Transportation,C+,"84,000","$21,519","Since United and Continental merged in 2010, the carrier struggled to integrate the two divergent cultures and workforces. As a result, it’s lagging its three major rivals in customer service and profitability. Add to the crosswinds management and board upheaval. Late last year, a scandal forced the resignation of CEO Jeff Smisek, who was replaced by former railroad executive Oscar Munoz. After a month on the job, Munoz suffered a massive heart attack, and returned in February to face a proxy battle from disgruntled hedge funds. In April, Munoz forged a compromise, agreeing to serve under a new chairman from outside the board, Robert Milton, former CEO of Air Canada. On the plus side, the sharp drop in fuel costs, and improved on-time performance, swelled its earnings from $2.4 billion in 2014 to $5.2 billion last year. But income slumped in the first quarter because of widespread pressure on prices—pressure that’s likely to persist. Frontier and Alaska Airlines, for example, are adding seats, and luring customers with discount fares, at United’s hubs in Denver and San Francisco."
89,81,Allstate,Insurance: Property and Casualty (Stock),"$35,653","$104,656",Thomas J. Wilson,"$2,171",21,"Northbrook, IL",1.2%,-23.8%,Financials,A-,"41,350","$25,486","While cheap gas and a healthier economy has been good for consumers, it has been bad for Allstate. The auto insurer has had to cover the damage in an increasing number of car accidents as those consumers hit the road more often. While the trend has hurt property and casual insurance companies across the spectrum—more economic activity generally leads to higher claims—it has particularly impacted Allstate. Its profits plunged nearly 25% in 2015. Shares of the Northbrook, lll.-based insurer fell 14% last year as the disappointing statistics, and signs that cheap oil and an improving economy would continue, prompted a drop in confidence from investors."
92,82,TIAA,"Insurance: Life, Health (Mutual)","$35,181","$517,963",Roger W. Ferguson Jr.,"$1,214",19,"New York, NY",2.8%,25.6%,Financials,C,"12,735",-,"Profits for the Teachers Insurance and Annuity Association, which manages retirement accounts and mutual funds, and sells insurance plans, jumped 26% in 2015. A big boost came from its acquisition of Nuveen investments the year before. The organization has won accolades for the best-in-class investment performance of its funds, which has helped attract more customers and management fees. TIAA has also expanded its offerings in other types of investment classes such as real estate, agriculture, and timber. Sales increased nearly 3% in 2015, helping to push it up 10 spots on the Fortune 500, to No. 82."
93,83,INTL FCStone,Diversified Financials,"$34,693","$5,070",Sean M. O'Connor,$56,8,"New York, NY",1.8%,188.6%,Financials,D,"1,231",$503,"Most companies in the commodities business have had a terrible time of late, as forces from the flagging Chinese economy to weak demand in the developed world have conspired to drag the Dow Jones commodities index down more than 17% in the past year. But INTL FCStone, the financial services company that specializes in commodity trading, has been able to profit even during the bust, mostly due to the fact that it doesn’t take directional positions in the assets it trades. The firm reported a 12% jump in profits in the second quarter of 2016, driven by strength in its commercial hedging segment."
69,84,CHS,Food Production,"$34,582","$15,228",Carl M. Casale,$781,17,"Inver Grove Heights, MN",-18.9%,-27.8%,"Food, Beverages & Tobacco",F,"12,511",-,"The largest farmer- and rancher-owned cooperative in the U.S. with $34.6 billion in sales provides the stuff farmers need to grow crops–fuel and farm supplies–and then buys growers’ harvests to either sell or process. CHS saw its profits drop nearly 28% as its agriculture segment took a hit from the reduced selling prices of grain. The cooperative’s energy segment, which also refines and retails petroleum, suffered from a 28% drop in the price of refined fuels and weak demand for propane due to a warm winter. The company took a charge for ending development on a planned nitrogen fertilizer plant and instead decided to make the biggest investment in its history ($2.8 billion) in an existing fertilizer operation."
88,85,American Express,Diversified Financials,"$34,441","$161,184",Kenneth I. Chenault,"$5,163",22,"New York, NY",-4.3%,-12.3%,Financials,A-,"54,800","$58,842","One of the most storied brands in the financial services industry, American Express has fallen on hard times of late. In 2015, the company announced that it would be ending its 16-year exclusive relationship with mega-retailer Costco, a big hit considering 1 in 10 Amex cards were issued by the wholesaler. The firm has also had to reduce its prices to small merchants and beef up the rewards it offers its customers to hold its own in a highly competitive credit card landscape. Nonetheless, American Express was able to beat revenue estimates in the first quarter of 2016, in part on the strength of its loyal corporate business."
118,86,Gilead Sciences,Pharmaceuticals,"$32,639","$51,839",John F. Milligan,"$18,108",8,"Foster City, CA",31.1%,49.6%,Health Care,D,"8,000","$124,437","The California-based biotech continued its rocket-like ascent in 2015–just two years ago it ranked No. 250 on the 500–due to booming sales of its breakthrough Hepatitis C medications. Those drugs–Sovaldi and Harvoni–which cost a fortune, but also cure a chronic, devastating disease, sparked a national debate on drug pricing. They also drove Gilead’s bottom and top lines in 2015–revenues and profits jumped 31% and 50%, respectively. John Milligan, Gilead’s new CEO faces rockier road in 2016: the competition is stiffer and IP challenges and pricing pressures loom."
101,87,Publix Super Markets,Food and Drug Stores,"$32,619","$16,359",Todd Jones,"$1,965",22,"Lakeland, FL",5.9%,13.2%,Food and Drug Stores,A-,"180,000",-,"For the past eight years, the 80-year old privately held super market chain in six Southeastern states and based in Lakeland, Fla. has been on a slow growth trajectory under CEO Ed Crenshaw, who semi-retired in May 2016 but will continue as chairman. He hands the reins of the world’s largest employee-owned company over to Todd Jones, a lifelong Publix associate and the first non-family member to lead it. Jones inherits a retail brand that is as loved by generations of faithful shoppers as it is by its 180,000 employees, who are also co-owners via a very healthy stock ownership plan. Jones will also oversee Publix’s further expansion as it plans to open stores in Virginia in 2017. Also read: Bag Boy Confidential: My Five Days as a Publix Employee"
100,88,General Dynamics,Aerospace and Defense,"$31,469","$31,997",Phebe N. Novakovic,"$2,965",22,"Falls Church, VA",2.0%,17.1%,Aerospace & Defense,B,"99,900","$40,286","The defense giant has been benefiting from a wave of increased geopolitical tension and military spending. Demand for the company’s Gulfstream jetliner has recently softened; it projects delivering 138 this year compared to 147 in 2015. General Dynamics is making up for the commercial revenue decline on its defense side. Navy spending is up, which has boosted the company’s marine systems sales. Overseas deals for armored vehicles in the UK, Denmark, and Saudi Arabia have boosted its combat systems unit as well. Last year the company spun off Fideleis Cybersecurity, a computer security business that it picked up in 2012. The move demonstrates CEO Phebe Novakovic’s continued emphasis on slimming and restructuring the organization."
103,89,TJX,Specialty Retailers: Apparel,"$30,945","$11,500",Ernie L. Herrman,"$2,278",22,"Framingham, MA",6.4%,2.8%,Retailing,C+,"216,000","$51,914","In a bleak environment for retail, the parent company of Marshalls, T.J. Maxx, and HomeGoods has continued to dominate the landscape. TJX sells an ever-changing assortment of branded goods at discounted prices — a formula that’s become increasingly appealing to value-oriented shoppers and has led to some copycat attempts from the likes of Macy’s and Nordstrom. Sales were up 6.4% for the year as the off-price retailer with more than 3,600 stores crossed the $30 billion in sales threshold, buoyed by strong performances in home goods, jewelry and accessories, and active wear. Same-store sales were up 5%, driven by higher customer traffic. The company continued its push internationally with the acquisition of Australian chain Trade Secret. E-commerce still remains an insignificant piece of the business, making up just 1% of the company’s total sales. TJX’s fiscal year ending January 30, 2016 marked the end of an era with CEO Carol Meyrowitz, who had an impressive run at the company since 2007. Earlier this year, she handed the CEO reins to Ernie Herrman, but will stay on as the company’s executive chairman for three years."
51,90,ConocoPhillips,"Mining, Crude-Oil Production","$30,935","$97,484",Ryan M. Lance,"$-4,428",22,"Houston, TX",-44.8%,-164.5%,Energy,B,"15,900","$49,869","ConocoPhillips is the smallest of the U.S.’s big three oil and gas producers, and 2016 seems to be the year it admitted it won’t get any bigger. Spinning off its refining and marketing operations into Phillips Petroleum has left it without a downstream hedge against low crude prices, causing a string of write-downs and quarterly losses. After a credit rating downgrade in April, CEO Ryan Lance made cutting the company’s $25 billion debt pile top priority, which suggests it won’t be heading to the bankruptcy courts with a glint in its eye in search of bargains in the shale sector. Nearly 10% of its production is bitumen, which requires expensive processing before it can be transported and sold. That means it’s squarely in harm’s way in the battle for market share being waged by low-cost OPEC producers. However, crude prices are now back above the $45 a barrel level where the company thinks it can sustain a dividend without taking on more debt."
106,91,Nike,Apparel,"$30,601","$21,600",Mark G. Parker,"$3,273",22,"Beaverton, OR",10.1%,21.5%,Apparel,A,"62,600","$104,693","The world’s largest athletic apparel and gear maker’s 2015 can best be described in one word: dominant. Fiscal-year sales climbed to $30.6 billion from $27.8 billion as Americans and shoppers around the globe continue to be lured by the trendy swoosh. Nike’s gear is widely seen on courts and running trails, but the brand also has remained on-trend as part of the growing consumer interest in “athleisure” — a term that describes the growing acceptance of wearing athletic apparel and shoes just about anywhere. Nike is bullish about what’s ahead, projecting $50 billion in sales by 2020 due to a global shift toward fitness and significant growth from the women’s business, Jordan brand, and e-commerce sales. There’s a short-term advantage on the horizon: the Summer Olympics in Brazil will generate increased attention for athletic companies like Nike, which can springboard the event to sell more new, innovative gear."
68,92,World Fuel Services,Wholesalers: Diversified,"$30,380","$4,549",Michael J. Kasbar,$187,12,"Miami, FL",-30.0%,-15.7%,Wholesalers,F,"4,700","$3,440","For a while, World Fuel Services boasted the fastest revenue growth in the Fortune 500 over a 10-year period — faster even than Apple. The drop in oil prices since late 2014 led to a 25% decline in revenue in 2015, however, with profits falling by a little less. WFS specializes in the generally unloved, low-margin business of selling fuel to shipping companies and airlines. Although revenue fell again in the first quarter of 2016, profit margins were stable due to strong demand from airlines. WFS also transports crude oil by rail. Last year, it agreed to pay $110 million into a compensation fund for victims of the Lac Megantic disaster in Quebec in 2013, when a train carrying its crude derailed and exploded, killing 47 people and devastating the small town."
